mukey,pm_dom,comppct_dom,n_pm
70227,glacial till and colluvium derived from metamorphic rock mixed with a component of loess and volcanic ash,85,1
70229,glacial till and colluvium derived from metamorphic rock mixed with a component of loess and volcanic ash,55,1
70232,colluvium and residuum derived from granitic rock mixed with a compenent of volcanic ash and loess,85,1
70271,alluvium derived from volcanic ash and loess,80,1
70301,residuum and colluvium derived from granitic rock mixed with a component of loess,85,1
70325,mantle of volcanic ash over residuum and colluvium derived from metamorphic rock,80,1
70341,granitic ablation till and glacial outwash mixed with a component of loess and volcanic ash,85,1
70349,mantle of volcanic ash and loess over glacial till and colluvium derived from volcanic and metamorphic rock,85,5
70350,mantle of volcanic ash and loess over glacial till and colluvium derived from volcanic and metamorphic rock,85,5
70352,mantle of volcanic ash and loess over glacial till and colluvium derived from volcanic and metamorphic rock,40,2
70353,mantle of volcanic ash and loess over glacial till and colluvium derived from volcanic and metamorphic rock,65,1
70376,glacial till with a mantle of volcanic ash,85,1
70379,residuum and colluvium derived from rhyodacite and quartz latite with some glacial till and a component of loess and volcanic ash,40,1
70383,alluvium and glacial till mixed with a component of loess and volcanic ash,85,1
70397,glacial till with a mantle of volcanic ash,80,1
70417,mixed volcanic ash 7 to 14 inches thick over colluvium and residuum from granite and metamorphic rock,60,5
70418,colluvium and glacial till derived from granitic rock mixed with a component of loess and volcanic ash in the upper part,60,1
70427,residuum and colluvium derived from granitic rock with a mantle of volcanic ash and loess,80,1
70434,residuum and colluvium derived from rhyodacite and quartz latite with some glacial till and a component of loess and volcanic ash,40,1
70441,glacial till mixed with a component of loess and volcanic ash,85,1
70442,glacial till with a mantle of volcanic ash,45,1
70443,glacial till with a mantle of volcanic ash,45,1
70444,glacial till with a mantle of volcanic ash,45,1
70457,residuum and colluvium derived from rhyodacite and quartz latite with a component of loess and volcanic ash,40,2
70467,colluvium and residuum derived from granitic rock mixed with a compenent of volcanic ash and loess,85,1
70470,mantle of volcanic ash over residuum and colluvium derived from metamorphic rock,85,1
70475,volcanic ash over glacial outwash,85,1
70513,residuum and colluvium derived from metamorphic rock mixed with a component of loess and volcanic ash,45,1
70514,residuum and colluvium derived from metamorphic rock mixed with a component of loess and volcanic ash,60,1
70531,mantle of volcanic ash over glacial outwash and glacial till,85,1
70532,mantle of volcanic ash over glacial outwash and glacial till,80,1
70550,"glacial outwash, glaciofluvial material and glacial lake sediments",20,1
70581,colluvium and residuum derived from granitic rock mixed with a compenent of volcanic ash and loess,85,1
70589,glacial till and colluvium derived from metamorphic rock mixed with a component of loess and volcanic ash,80,1
70639,outwash mixed with a component of loess and volcanic ash,85,1
70658,"colluvium, residuum and till derived from granitic rock mixed with a component of loess adn volcanic ash",70,1
70671,colluvium derived from granitic rock and glacial till mixed with a component of volcanic ash and loess,85,1
70691,"residuum and colluvium derived from granitic rock, gneiss and quartzite with a mantle of volcanic ash and loess",85,4
70717,granitic residuum and colluvium with a mantle of volcanic ash and loess,45,1
72130,colluvium and residuum derived from basalt,70,1
72207,lahar and/or pyroclastic flow with a mantle of volcanic ash,80,1
72335,volcanic ash and pumice over colluvium and residuum derived from igneous rock,50,2
72483,mudflow deposits and/or lahar,80,1
72708,residuum and colluvium from andesite with pumice and volcanic ash,85,1
72853,residuum and colluvium from basalt with a mantle of volcanic ash,75,1
73332,colluvium from sandstone or basalt with loess and volcanic ash in the upper part,100,1
73340,residuum weathered from granite with a component of volcanic ash,100,1
73345,resdiuum from granite with loess and volcanic ash,100,1
73347,glacial outwash with a mantle of volcanic ash,100,1
73355,residuum and colluvium from basalt with loess and volcanic ash in the upper part,100,1
73366,residuum and colluvium from sandstone with loess and volcanic ash,100,1
